Baseline 100%T_S,,Baseline 100%T_P,,312_R6G-PdTPP_simple P 6.00 12.00,,312_R6G-PdTPP_simple P 10.00 20.00,,312_R6G-PdTPP_simple P 14.00 28.00,,312_R6G-PdTPP_simple P 18.00 36.00,,312_R6G-PdTPP_simple P 22.00 44.00,,312_R6G-PdTPP_simple P 26.00 52.00,,312_R6G-PdTPP_simple P 30.00 60.00,,312_R6G-PdTPP_simple P 34.00 68.00,,312_R6G-PdTPP_simple P 38.00 76.00,,312_R6G-PdTPP_simple P 42.00 84.00,,312_R6G-PdTPP_simple P 46.00 92.00,,312_R6G-PdTPP_simple P 50.00 100.00,,312_R6G-PdTPP_simple P 54.00 108.00,,312_R6G-PdTPP_simple P 58.00 116.00,,312_R6G-PdTPP_simple P 62.00 124.00,,312_R6G-PdTPP_simple P 66.00 132.00,,312_R6G-PdTPP_simple P 70.00 140.00,,312_R6G-PdTPP_simple P 74.00 148.00,,312_R6G-PdTPP_simple P 78.00 156.00,,312_R6G-PdTPP_simple P 82.00 164.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
858,32.37869263,858,131.5196228,858,95.58984375,858,95.67115021,858,95.62904358,858,95.63330078,858,95.61698914,858,95.60688019,858,95.59771729,858,95.51272583,858,95.45464325,858,95.34487915,858,95.29297638,858,95.09095001,858,94.86232758,858,94.59442902,858,94.3394165,858,93.9041214,858,93.43110657,858,92.98195648,858,92.49369812,858,88.11193848,
857,32.52234268,857,131.3228912,857,95.51792145,857,95.60191345,857,95.61752319,857,95.60899353,857,95.57575226,857,95.57174683,857,95.55905914,857,95.48181915,857,95.42816162,857,95.38259888,857,95.21774292,857,95.0533905,857,94.82791901,857,94.53275299,857,94.22494507,857,93.85488892,857,93.40129089,857,92.92221069,857,92.45186615,857,88.0903244,
856,32.67190552,856,131.0903931,856,95.52494049,856,95.54421997,856,95.60063171,856,95.56028748,856,95.5579071,856,95.52411652,856,95.5212326,856,95.50256348,856,95.44406891,856,95.36265564,856,95.21932983,856,95.00160217,856,94.82834625,856,94.52603149,856,94.18495178,856,93.85401917,856,93.39880371,856,92.94080353,856,92.4315567,856,88.04784393,
855,32.84963608,855,130.8560791,855,95.5667038,855,95.56252289,855,95.53645325,855,95.58540344,855,95.50489044,855,95.50672913,855,95.53271484,855,95.48794556,855,95.3927002,855,95.32756805,855,95.19063568,855,95.00588989,855,94.80609894,855,94.50543976,855,94.16188812,855,93.81105804,855,93.37477875,855,92.88669586,855,92.42671967,855,88.09883118,
854,32.97356796,854,130.6054382,854,95.5027771,854,95.58364105,854,95.55922699,854,95.59164429,854,95.561203,854,95.50749969,854,95.54393005,854,95.48381805,854,95.36428833,854,95.30254364,854,95.14099884,854,95.021698,854,94.79976654,854,94.49795532,854,94.20864868,854,93.80106354,854,93.41672516,854,92.92565918,854,92.39809418,854,88.0663681,
853,33.11277771,853,130.3454742,853,95.55527496,853,95.5931015,853,95.58281708,853,95.56604004,853,95.57073975,853,95.54325104,853,95.5120697,853,95.45783234,853,95.4034729,853,95.34981537,853,95.20926666,853,95.03530884,853,94.81065369,853,94.52017212,853,94.16207123,853,93.83467102,853,93.38168335,853,92.95100403,853,92.47654724,853,88.12284851,
852,33.27258682,852,130.1156921,852,95.53019714,852,95.58416748,852,95.55194855,852,95.57492828,852,95.54423523,852,95.54896545,852,95.48433685,852,95.47122955,852,95.40618896,852,95.32468414,852,95.2061615,852,95.05196381,852,94.81839752,852,94.48612976,852,94.14789581,852,93.811409,852,93.39510345,852,92.89684296,852,92.39324951,852,88.08118439,
851,33.38442993,851,129.9177704,851,95.49493408,851,95.5316391,851,95.49585724,851,95.53044128,851,95.48670959,851,95.49034882,851,95.49349213,851,95.44831848,851,95.38044739,851,95.27963257,851,95.16408539,851,94.97523499,851,94.76866913,851,94.46495819,851,94.1545105,851,93.77200317,851,93.34721375,851,92.87689209,851,92.42214966,851,88.06482697,
850,33.51030731,850,129.7416687,850,95.46583557,850,95.47779846,850,95.44950867,850,95.47731018,850,95.42253876,850,95.44242859,850,95.44241333,850,95.37700653,850,95.2991333,850,95.21783447,850,95.10849762,850,94.91133118,850,94.69873047,850,94.42453003,850,94.12226868,850,93.72860718,850,93.27654266,850,92.83015442,850,92.3558197,850,88.03495789,
849,33.6752243,849,129.5127716,849,95.42897797,849,95.39524078,849,95.41053772,849,95.48660278,849,95.40984344,849,95.41313171,849,95.42704773,849,95.35153198,849,95.25945282,849,95.19528961,849,95.11985779,849,94.90346527,849,94.70713043,849,94.43615723,849,94.09392548,849,93.67835236,849,93.28839874,849,92.79545593,849,92.35111237,849,88.01724243,
848,33.81762314,848,129.2172394,848,95.48490906,848,95.47703552,848,95.52921295,848,95.49082184,848,95.43250275,848,95.46409607,848,95.44536591,848,95.41543579,848,95.29389954,848,95.23736572,848,95.16000366,848,94.99101257,848,94.72574615,848,94.43119812,848,94.11603546,848,93.72724152,848,93.31716156,848,92.80471039,848,92.35988617,848,88.07680511,
847,33.9380188,847,129.0248566,847,95.41261292,847,95.4784317,847,95.44325256,847,95.44818878,847,95.4526825,847,95.38756561,847,95.41434479,847,95.36027527,847,95.3057251,847,95.20397186,847,95.06134033,847,94.88158417,847,94.66240692,847,94.37017822,847,94.11448669,847,93.73423004,847,93.30633545,847,92.83779907,847,92.37242889,847,88.0718689,
846,34.04610062,846,128.8386078,846,95.41765594,846,95.41233826,846,95.39086151,846,95.38294983,846,95.37303162,846,95.38150787,846,95.40986633,846,95.34464264,846,95.26321411,846,95.17409515,846,95.08435822,846,94.81752777,846,94.66876984,846,94.34835052,846,94.07510376,846,93.67520905,846,93.2728653,846,92.82226563,846,92.33734894,846,88.04938507,
845,34.14483261,845,128.6646729,845,95.31780243,845,95.36684418,845,95.34568787,845,95.36682892,845,95.35715485,845,95.35769653,845,95.33803558,845,95.29237366,845,95.21704102,845,95.14607239,845,94.99804688,845,94.87631989,845,94.59801483,845,94.32000732,845,93.99502563,845,93.63023376,845,93.18852997,845,92.73158264,845,92.28294373,845,88.02450562,
844,34.19212723,844,128.3106537,844,95.38847351,844,95.44612122,844,95.4805603,844,95.46995544,844,95.44203186,844,95.40596771,844,95.45828247,844,95.37633514,844,95.34912872,844,95.2481842,844,95.10030365,844,94.88970184,844,94.7518158,844,94.38140869,844,94.05828857,844,93.76154327,844,93.26776886,844,92.85502625,844,92.39971924,844,88.11646271,
